cname,bti_ci,bti_cr,cpds_vt,ti_cpi,ccp_democ,br_dem,bti_ffe,bti_gp,bti_ij,bti_mes,bti_pdi,bti_sdi,ti_cpi_max,al_ethnic2000,al_religion2000
Chile,3,9,NA,67,1,1,10,8.899999619,9,8.428571701,10,10,71.1862793,0.186146006,0.384105712
China,5,2,NA,41,1,0,1,5.25,2,6.75,1,1,44.44551086,0.15379034,0.664296329
Taiwan ,2,10,NA,65,1,1,10,9.083333015,10,9.428571701,9,9.5,69.97683716,0.274399996,0.684494317
Colombia,6,6,NA,37,1,1,7,6.416666508,6,6.642857075,7,7.5,41.09006882,0.601400018,0.147835106
Comoros (the),NA,NA,NA,25,1,0,NA,NA,NA,NA,NA,NA,39.60375977,0,0.0137451
Congo ,8,2,NA,19,1,0,2,3.133333445,3,3.428571463,2,2,20.69177055,0.874725997,0.664236128
Dem. Rep. Congo,8,3,NA,18,1,0,4,2.700000048,2,2.821428537,2,2,20.3400898,0.874725997,0.702140987
Costa Rica,1,9,NA,56,1,1,10,8.395833015,10,7.928571224,8,9,62.51247025,0.2368,0.240958199
Croatia,2,8,52.59999847,47,1,1,9,7.283333302,7,7.678571224,8,8.5,50.9654007,0.369026005,0.444733113
Cuba,2,4,NA,48,1,0,1,4.516666889,2,4,1,1,51.06631851,0.590799987,0.505935788
Cyprus,NA,NA,66.69999695,58,2,1,NA,NA,NA,NA,NA,NA,63.59806824,0.093854003,0.396160096
Czech Rep.,1,10,60.79999924,56,1,1,10,8.833333015,9,9.785714149,9,9,59.06357956,0.322163999,0.659090579
Benin,2,8,NA,41,1,1,9,6.770833492,6,5.107142925,8,9,45.32836151,0.787216008,0.554399371
Denmark,1,NA,84.59999847,87,2,1,NA,NA,NA,NA,NA,NA,91.16964722,0.081859998,0.233303905
Dominica,1,NA,NA,55,1,1,NA,NA,NA,NA,NA,NA,58.55030823,0.200261995,0.462809891
Dominican Rep.,3,6,NA,28,1,1,7,6.583333492,5,5.928571224,7,7,32.42692184,0.429399997,0.311844289
Ecuador,3,7,NA,38,1,1,8,5.958333492,6,5.75,7,7,41.59572983,0.654999971,0.141712502
El Salvador,4,5,NA,34,1,1,9,7.316666603,6,6.392857075,7,8,38.20439148,0.197799996,0.35588339
Eq. Guinea,3,2,NA,16,1,0,2,3.716666698,2,3.214285612,1,1,20.91630936,0.346700013,0.119511098
Ethiopia,6,2,NA,37,1,0,4,5.233333111,4,3.642857075,3,3,39.48625946,0.723471999,0.624867976
Eritrea,5,1,NA,23,1,0,1,1.25,1,1.285714269,1,1,33.91812897,0.652400017,0.425319105
Estonia,3,10,63.70000076,74,1,1,10,9.149999619,10,9.285714149,10,10,75.98419189,0.506169975,0.498456806
Fiji,NA,NA,NA,55,1,0,NA,NA,NA,NA,NA,NA,63.48577118,0.547941983,0.568199396
Finland,1,NA,72.09999847,86,1,1,NA,NA,NA,NA,NA,NA,90.79620361,0.131497309,0.253104389
France,1,NA,48.70000076,69,1,1,NA,NA,NA,NA,NA,NA,72.73967743,0.103216842,0.402858108
Djibouti,3,3,NA,30,1,0,4,5.458333492,3,4.535714149,3,2.5,37.01362991,0.796166003,0.0434568
Gabon,2,5,NA,31,1,0,4,5.583333492,3,5.071428776,3,2.5,34.94847107,0.768959999,0.667440772
Georgia,5,7,NA,56,1,1,8,6.599999905,6,6.178571224,6,7,62.29037094,0.492273986,0.65429908
Gambia ,4,6,NA,37,1,1,7,6.433333397,6,4.785714149,7,7.5,46.80773926,0.786401987,0.096968397
Germany,1,NA,76.19999695,80,1,1,NA,NA,NA,NA,NA,NA,85.42800903,0.168201998,0.657119572
Ghana,4,7,NA,41,1,1,8,7.020833492,8,5.571428776,9,8.5,45.52117157,0.673331976,0.798675179
Kiribati,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.051054001,0.554111481
Greece,1,NA,57.79999924,48,1,1,NA,NA,NA,NA,NA,NA,52.21189117,0.157630101,0.153030604
Grenada,NA,NA,NA,53,1,1,NA,NA,NA,NA,NA,NA,60.17303085,0.266133994,0.589773178
Guatemala,6,4,NA,26,1,1,6,3.900000095,3,4.892857075,3,3,29.65999985,0.512199998,0.37532419
Guinea,6,5,NA,29,1,1,6,6.366666794,5,4.714285851,5,5,33.09909058,0.738942027,0.264852285
Guyana,NA,NA,NA,40,1,1,NA,NA,NA,NA,NA,NA,45.47314835,0.619498014,0.787591815
Haiti,6,3,NA,18,1,0,6,3.516666651,3,2.964285612,3,3,23.30534935,0.094999999,0.470365614
Honduras,6,4,NA,26,1,0,5,4.716666698,3,5.214285851,3,3,31.33683014,0.186700001,0.235716507
Hungary,4,7,69.69999695,44,1,1,6,4.966666698,6,7.178571224,6,5.5,48.22655869,0.152199998,0.524375021
Iceland,1,NA,81.19999695,78,1,1,NA,NA,NA,NA,NA,NA,85.58836365,0.079796001,0.191326499
India,6,6,NA,41,1,1,9,6.550000191,7,6.142857075,8,8,43.63208008,0.418199986,0.326022595
Indonesia,5,6,NA,40,1,1,8,6.016666889,5,6.107142925,7,6.5,46.16096115,0.735134006,0.234026596
Iran ,5,2,NA,26,1,0,3,1.983333349,2,2.785714388,2,2,31.94713974,0.66839999,0.115195401
Iraq,9,3,NA,20,1,0,6,5.316666603,4,4.107142925,3,3,24.88722038,0.368910015,0.484367788
Ireland,1,NA,65.09999847,74,1,1,NA,NA,NA,NA,NA,NA,79.92201233,0.120635003,0.154978901
Israel,NA,NA,NA,60,NA,1,NA,NA,NA,NA,NA,NA,63.26213074,0.343593717,0.346854299
Italy,1,NA,72.90000153,53,1,1,NA,NA,NA,NA,NA,NA,58.27365112,0.114519,0.302656591
Cote d'Ivoire,5,5,NA,35,NA,0,6,5.900000095,3,5.178571224,6,6,39.08140945,0.82042402,0.755107701
Jamaica,4,7,NA,43,1,1,9,6.791666508,9,6.321428776,8,8.5,48.87694931,0.412894011,0.615960598
Japan,1,NA,53.70000076,73,2,1,NA,NA,NA,NA,NA,NA,78.75718689,0.011928,0.540634513
Kazakhstan,4,4,NA,34,1,0,2,5.216666698,4,6.035714149,2,2,40.84962845,0.617121994,0.589846313
Jordan,5,5,NA,48,2,0,5,5.433333397,5,5.964285851,2,2.5,53.39957047,0.592599988,0.065942399
Kenya,6,5,NA,28,1,0,5,5.25,7,5.464285851,3,3,31.55511093,0.858799994,0.776516974
Dem. Rep. Korea ,2,1,NA,17,1,0,1,1.466666698,1,1.571428537,1,1,22.18210983,0.0392,0.489118487
Korea (the Republic of),2,8,NA,59,1,1,9,8.100000381,9,8.714285851,8,8.5,62.99983978,0.001998,0.660364807
Kuwait,4,6,NA,40,1,0,4,5.25,5,7.178571224,3,3,43.08226013,0.660399973,0.674471974
Kyrgyzstan,4,6,NA,30,1,1,6,5.099999905,4,5.642857075,5,6,34.16664124,0.675181985,0.446988791
Lao PDR,3,3,NA,29,1,0,1,4.300000191,2,4.785714149,1,1,37.19322968,0.513862014,0.545262814
Lebanon,6,6,NA,28,1,0,6,4.466666698,5,5.428571224,5,5,31.72524071,0.131400004,0.788645804
Lesotho,6,6,NA,40,1,1,8,3.883333445,5,4.607142925,4,4.5,46.47705078,0.254999995,0.721111
Latvia,4,9,54.59999847,56,1,1,9,8.433333397,8,8.607142448,10,10,61.78414154,0.586668015,0.555566013
Liberia,4,6,NA,28,1,1,8,5.733333111,5,4.357142925,6,7,32.37442017,0.908388019,0.488303095
Libya,9,2,NA,18,NA,0,3,2.466666698,3,2.607142925,2,2,21.67532921,0.792029977,0.056985099
Liechtenstein,1,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.572610021,0.334251493
Lithuania,1,9,50.59999847,60,1,1,10,8.883333206,10,9.107142448,10,10,63.80393982,0.322270006,0.414127111
Luxembourg,1,NA,89.66000366,80,1,1,NA,NA,NA,NA,NA,NA,83.20548248,0.530237973,0.091095403
Madagascar,5,5,NA,24,NA,0,7,5.75,4,4.678571224,5,6,28.05954933,0.879100025,0.519087911
Malawi,5,6,NA,31,1,1,7,6.116666794,7,4.464285851,6,6.5,33.91791916,0.674399972,0.819176316
Malaysia,5,6,NA,53,2,1,6,6.583333492,5,7.285714149,5,5,56.76004028,0.587961972,0.665688396
Maldives,NA,NA,NA,29,1,1,NA,NA,NA,NA,NA,NA,33.21474838,NA,NA
Mali,7,6,NA,29,1,1,7,5.516666889,4,4.321428776,6,6,33.29758835,0.690599978,0.181997806
Malta,1,NA,92.09999847,54,1,1,NA,NA,NA,NA,NA,NA,56.54389954,0.041432209,0.1223239
Mauritania,5,5,NA,28,1,0,3,4.25,4,4.178571224,3,2.5,32.4757309,0.61500001,0.0148691
Mauritius,1,8,NA,52,1,1,9,8.104166985,9,7.928571224,9,9,57.12438965,0.463400006,0.638465881
Mexico,7,4,NA,29,1,1,7,5.650000095,5,6.357142925,6,6.5,31.83020973,0.541800022,0.1795571
Monaco,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0.683799982,0.3046875
Mongolia,2,7,NA,35,1,1,8,6.729166508,6,6,7,7,38.09560013,0.368223995,0.079861201
Moldova,4,6,NA,32,1,1,6,5.449999809,4,5.75,6,6,35.92816925,0.553478003,0.560292006
Montenegro,3,8,NA,45,1,0,6,7.783333302,7,7.071428776,7,6.5,52.93151855,NA,NA
Morocco,4,5,NA,41,1,0,3,4.849999905,2,5.714285851,2,2,46.16685104,0.484057188,0.0034627
Mozambique,5,3,NA,26,1,0,6,4.666666508,3,4,3,3,30.8828907,0.693216026,0.675908029
Oman,3,2,NA,52,2,0,2,4.050000191,2,5.535714149,2,2,68.03755951,0.437256008,0.432176799
Namibia,4,7,NA,52,1,0,9,5.849999905,9,5.428571224,7,7.5,57.13747025,0.632903993,0.662610173
Nauru,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0.583199978,0.619362175
Nepal,6,5,NA,34,1,1,8,4.633333206,6,4.571428776,6,6.5,36.88539886,0.663222015,0.141681805
Netherlands (the),1,NA,81.59999847,82,2,1,NA,NA,NA,NA,NA,NA,85.68512726,0.105372287,0.722182572
Vanuatu,1,NA,NA,46,1,1,NA,NA,NA,NA,NA,NA,56.45700073,0.041338,0.704376221
New Zealand,1,NA,72.90000153,87,2,1,NA,NA,NA,NA,NA,NA,90.74984741,0.39684999,0.811007977
Nicaragua,6,3,NA,22,1,0,5,3.066666603,2,4.642857075,2,2.5,23.90645981,0.484400004,0.429026514
Niger ,5,6,NA,32,NA,1,7,5.533333302,5,3.928571463,6,6.5,34.81370926,0.651762009,0.201264903
Nigeria,9,4,NA,26,1,1,7,4.316666603,7,3.928571463,5,5.5,29.06373024,0.850459993,0.742144525
Norway,1,NA,78.19999695,84,1,1,NA,NA,NA,NA,NA,NA,86.70057678,0.058600001,0.204800501
Micronesia (Federated States of),NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.700536013,0.646940589
Marshall Islands,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.060338002,0.520709991
Palau,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.431199998,0.714681387
Pakistan,8,3,NA,32,1,1,6,3.75,3,4.178571224,3,3,36.03656006,0.709800005,0.384828687
Panama,3,7,NA,36,1,1,8,6.75,5,6.821428776,7,7,38.25405121,0.5528,0.333760887
Papua New Guinea,6,6,NA,28,1,1,6,5.066666603,7,4.821428776,5,6,31.90287018,0.271800011,0.552275479
Paraguay,4,6,NA,28,1,1,8,6.566666603,5,6.035714149,6,6.5,32.65005875,0.168899998,0.212251201
Peru,5,6,NA,36,1,1,8,6.566666603,6,7.107142925,6,6.5,41.02756882,0.656576991,0.198781505
Philippines ,6,4,NA,34,1,1,7,5.466666698,6,6.428571224,6,5.5,36.60084152,0.238540739,0.305592507
Poland,3,8,61.70000076,58,1,1,9,7.516666889,6,8.357142448,7,7,61.02587891,0.118339531,0.171181604
Portugal,1,NA,48.59999847,62,1,1,NA,NA,NA,NA,NA,NA,66.62330627,0.04675737,0.143831998
Guinea-Bissau,4,5,NA,18,1,1,7,4.933333397,5,4.392857075,5,5.5,22.77095032,0.808214009,0.612823725
Timor-Leste,2,7,NA,38,1,1,9,6.633333206,8,4.75,7,8,45.37242889,NA,NA
Qatar,2,6,NA,62,1,0,2,6.354166508,3,7.892857075,2,2,75.11519623,0.745599985,0.094999999
Romania,3,8,39.79999924,44,1,1,9,5.716666698,7,7.642857075,7,7.5,48.53435135,0.306870252,0.237256095
Russia,4,5,NA,28,1,0,4,4.016666889,4,6.107142925,3,3,32.06135941,0.245169997,0.439794987
Rwanda,6,4,NA,53,1,0,2,5.5,4,5.607142925,2,2,60.79782104,0.323799998,0.506560683
Saint Kitts and Nevis,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.184200004,0.661406875
Saint Lucia,NA,NA,NA,55,1,1,NA,NA,NA,NA,NA,NA,61.81369019,0.176862001,0.332021594
Saint Vincent and the Grenadines,NA,NA,NA,59,1,1,NA,NA,NA,NA,NA,NA,65.79257202,0.306598008,0.702795923
San Marino,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.29273501,0.197530895
Sao Tome and Principe,NA,NA,NA,46,1,1,NA,NA,NA,NA,NA,NA,54.79653931,NA,0.186632007
Saudi Arabia,4,2,NA,53,2,0,1,4.033333302,2,6.214285851,1,1,65.4006424,0.180000007,0.127044499
Senegal,4,6,NA,45,1,1,7,7.283333302,6,5.142857075,7,8,48.38356018,0.693884015,0.1497394
Serbia,4,8,NA,39,1,1,6,6.25,6,6.928571224,6,6.5,43.07466888,NA,NA
Seychelles,NA,NA,NA,66,1,1,NA,NA,NA,NA,NA,NA,71.57084656,0.202467993,0.232302204
Sierra Leone,4,6,NA,33,1,1,8,5.199999809,4,4.321428776,6,6.5,38.682621,0.819090009,0.539540589
Singapore,3,6,NA,85,2,0,5,7.133333206,5,8.821428299,2,2,88.35938263,0.385674,0.656128585
Slovakia,3,9,59.79999924,50,1,1,10,7.800000191,8,8.785714149,8,8,57.49623108,0.253895998,0.565466404
Vietnam,3,4,NA,37,1,0,2,5.25,2,6.071428776,1,1.5,41.65945816,0.238307998,0.508024812
Slovenia,2,9,52.59999847,60,1,1,10,8.333333015,9,9.392857552,10,10,63.74494934,0.221647993,0.286755413
Somalia,10,1,NA,9,NA,0,1,2.450000048,1,1.285714269,1,1,11.85496044,0.811699986,0.0027548
South Africa,4,7,NA,44,1,0,8,7.233333111,9,6.142857075,7,7.5,49.6450882,0.751742899,0.860259891
Zimbabwe,5,3,NA,24,1,0,3,3.483333349,4,3,3,3,27.78470039,0.387400001,0.736274004
Spain,1,NA,66.19999695,62,1,1,NA,NA,NA,NA,NA,NA,67.19238281,0.416462988,0.451364309
S. Sudan,10,2,NA,12,NA,0,1,2.183333397,3,1.857142806,2,2,14.07285976,NA,NA
Sudan ,10,1,NA,16,1,0,2,1.516666651,1,2.107142925,1,1,20.49922943,NA,NA
Suriname,NA,NA,NA,44,1,1,NA,NA,NA,NA,NA,NA,51.81137085,0.733200014,0.790984213
Eswatini,4,3,NA,34,1,0,1,3.4375,4,3.428571463,2,2.5,43.96442032,0.058200002,0.444444388
Sweden,1,NA,87.19999695,85,1,1,NA,NA,NA,NA,NA,NA,88.24342346,0.059993651,0.234192297
Switzerland,1,NA,54.09999847,85,1,1,NA,NA,NA,NA,NA,NA,87.59133911,0.531400025,0.608301401
Syria,10,1,NA,13,NA,0,2,1.25,2,1.714285731,1,1,16.15127945,0.539921999,0.430979192
Tajikistan,5,2,NA,25,1,0,1,3.616666555,2,3.714285612,1,1,35.92235947,0.510717988,0.338571697
Thailand,7,4,NA,36,1,0,1,4.483333111,3,6.321428776,1,1,40.01478958,0.633823991,0.099422
Togo,5,5,NA,29,1,0,5,5.416666508,4,4.714285851,3,3,32.94403076,0.709927976,0.659559071
Tonga,NA,NA,NA,NA,2,1,NA,NA,NA,NA,NA,NA,NA,0.086902,0.621399999
Trinidad and Tobago,2,8,NA,40,1,1,10,7.125,8,6.535714149,9,9.5,48.82012939,0.647530019,0.793609619
United Arab Emirates ,1,5,NA,71,1,0,2,6.291666508,3,8,2,2,79.40711975,0.625199974,0.331038088
Tunisia,5,6,NA,43,NA,1,9,6.099999905,6,6.214285851,6,6.5,49.46337128,0.0394,0.0103731
Turkey,7,3,NA,39,1,0,6,4.583333492,3,6.107142925,3,3,44.47270966,0.319999993,0.0048609
Turkmenistan,3,1,NA,19,NA,0,1,2.583333254,2,2.678571463,1,1,21.32406998,0.391833991,0.232719004
Tuvalu,NA,NA,NA,NA,1,1,NA,NA,NA,NA,NA,NA,NA,0.162936002,0.252400488
Uganda,6,6,NA,28,1,0,5,5.599999905,7,5.678571224,3,3,31.33741951,0.930175006,0.633210123
Ukraine,9,7,NA,30,1,1,8,6.150000095,6,6.714285851,7,7.5,33.9041214,0.473672003,0.615657806
North Macedonia,5,8,NA,35,1,1,7,7.099999905,7,7.142857075,6,6.5,40.84289932,0.502258003,0.589917421
Egypt,7,2,NA,35,1,0,2,4.233333111,4,4.892857075,2,2,42.97602844,0.183592007,0.19788
United Kingdom ,1,NA,67.5,77,2,1,NA,NA,NA,NA,NA,NA,82.47306824,0.121059,0.694402516
Tanzania,4,4,NA,37,1,0,6,4.833333492,7,4.928571224,6,6,40.14648819,0.735296011,0.633438528
United States,1,NA,48.5,69,2,1,NA,NA,NA,NA,NA,NA,75.74887848,0.490111142,0.824078202
Burkina Faso,7,5,NA,40,1,0,7,5.550000191,4,4.5,6,6,44.17028046,0.737738013,0.579798818
Uruguay,1,10,NA,71,1,1,10,9.033333778,10,8.428571701,10,10,75.0544281,0.250400007,0.354829699
Uzbekistan,3,3,NA,25,1,0,2,3.966666698,3,4.535714149,2,2,28.29759979,0.412514001,0.213263795
Venezuela ,8,2,NA,16,1,0,2,1.458333373,2,2.464285612,2,2,19.36013031,0.496600002,0.135030404
Samoa,NA,NA,NA,NA,2,0,NA,NA,NA,NA,NA,NA,NA,0.137608007,0.787116528
Yemen,10,1,NA,15,NA,0,1,1.666666627,2,1.535714269,1,1,18.09303093,NA,0.0022857
Zambia,4,5,NA,34,1,1,6,4.9375,4,4.571428776,6,6,37.23680878,0.780799985,0.735868871
